City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,ulladulla,88,AU,1525366800,77,-35.36,150.48,60.8,5.82
88,tuktoyaktuk,75,CA,1525366800,85,69.44,-133.03,15.8,9.17
89,stanger,0,ZA,1525368248,87,-29.34,31.29,61.19,8.75
90,manhattan,40,US,1525365660,64,39.18,-96.57,75.2,11.41
91,susurluk,0,TR,1525366200,56,39.91,28.16,73.4,6.93
92,ponta delgada,75,PT,1525366800,67,37.73,-25.67,60.8,5.82
93,ust-kan,0,RU,1525368249,74,50.93,84.77,15.11,1.92
94,sibolga,48,ID,1525368249,100,1.74,98.78,70.73,2.04
95,cape town,0,ZA,1525363200,59,-33.93,18.42,66.2,9.17
96,georgetown,75,GY,1525363200,88,6.8,-58.16,78.8,13.87
97,henties bay,0,NA,1525368251,84,-22.12,14.28,68.84,6.96
98,klaksvik,56,FO,1525366200,81,62.23,-6.59,46.4,9.17
99,keetmanshoop,0,NA,1525363200,16,-26.57,18.15,84.2,2.93
100,khatanga,0,RU,1525368252,51,71.98,102.47,-3.61,2.93
101,mangrol,0,IN,1525368252,24,25.33,76.51,87.11,10.2
102,grand gaube,40,MU,1525366800,65,-20.01,57.66,77.0,11.41
103,bathsheba,20,BB,1525363200,66,13.22,-59.52,86.0,19.46
104,provideniya,56,RU,1525368253,100,64.42,-173.23,23.66,6.85
105,susanville,1,US,1525367700,36,40.42,-120.65,62.6,2.59
106,zyryanka,80,RU,1525368254,96,65.73,150.89,31.76,4.38
107,makakilo city,90,US,1525367520,94,21.35,-158.09,75.2,4.7
108,madang,88,PG,1525368254,100,-5.21,145.81,74.96,3.83
109,tupiza,80,BO,1525368255,20,-21.44,-65.72,62.45,3.71
110,kavieng,20,PG,1525368256,100,-2.57,150.8,83.6,4.38
111,volchikha,12,RU,1525368256,93,52.02,80.36,38.78,5.95
112,blagodatnoye,0,RU,1525366800,35,51.57,35.54,73.4,6.71
113,isangel,12,VU,1525368256,100,-19.55,169.27,75.41,14.45
114,urubicha,12,BO,1525368257,63,-15.63,-63.08,88.82,4.61
115,campbell river,75,CA,1525366800,82,50.02,-125.24,59.0,8.05
116,sitka,0,US,1525368257,53,37.17,-99.65,77.3,11.99
117,praia da vitoria,20,PT,1525366800,67,38.73,-27.07,62.6,7.74
118,saskylakh,12,RU,1525368258,62,71.97,114.09,0.89,4.72
119,tongren,92,CN,1525368258,95,27.72,109.18,62.99,2.71
120,high level,40,CA,1525366800,57,58.52,-117.13,48.2,9.17
121,namibe,8,AO,1525368259,97,-15.19,12.15,78.74,9.98
122,denpasar,0,ID,1525368251,100,-8.65,115.22,63.71,1.81
123,ryotsu,0,JP,1525368260,89,38.08,138.43,55.34,18.25
124,tual,68,ID,1525368260,100,-5.67,132.75,82.07,7.96
125,constitucion,80,MX,1525368260,31,23.99,-104.67,77.93,5.73
126,thessalon,40,CA,1525365300,75,46.26,-83.55,51.8,2.82
127,dikson,64,RU,1525368261,94,73.51,80.55,21.68,17.13
128,mingaora,8,PK,1525368192,91,34.78,72.36,50.39,1.7
129,bredasdorp,0,ZA,1525368261,90,-34.53,20.04,62.72,18.7
130,noormarkku,92,FI,1525366200,50,61.59,21.87,55.4,8.05
131,solnechnyy,44,RU,1525368262,44,50.72,136.64,40.31,6.17
132,port alfred,92,ZA,1525368262,85,-33.59,26.89,66.5,13.67
133,faanui,68,PF,1525368263,100,-16.48,-151.75,81.8,10.65
134,maracacume,80,BR,1525368265,91,-2.04,-45.96,80.45,7.07
135,alta floresta,20,BR,1525363200,62,-9.87,-56.08,87.8,4.7
136,nokaneng,0,BW,1525368266,36,-19.66,22.19,69.56,8.41
137,huarmey,0,PE,1525367998,53,-10.07,-78.15,77.21,4.16
138,maba,92,CN,1525368267,90,24.68,113.59,64.97,1.92
139,margate,75,AU,1525366800,72,-43.03,147.26,59.0,10.29
